,software,categories
368,AnswerMiner,['Analytics Platforms']
369,Ansys EnSight,['Other CAD']
370,Ansys Engineering Knowledge Manager,['Other CAD']
371,Ansys GRANTA MI Pro,['PLM']
372,Ansys GRANTA Materials Data for Simulation,['PLM']
373,Ansys Sherlock,['Simulation \\u0026 CAE']
374,Anteriad Marketing Cloud,"['Account Data Management', 'Buyer Intent Data Providers']"
375,Anthology Beacon,"['Academic Advising', 'Assessment']"
376,Anthology Finance \u0026 HCM,"['Education HR', 'Education Finance Software', 'Education ERP Suites']"
377,Anura.io,['Click Fraud']
378,Anveo,['VoIP']
379,Anvil,"['Mobile Forms Automation', 'E-Signature', 'API Documentation Management', 'Document Management']"
380,Anvizent,"['Data Warehouse', 'Big Data Integration Platforms']"
381,Anvyl,"['Supplier Relationship Management (SRM)', 'Supply Chain Visibility', 'Strategic Sourcing', 'Purchasing', 'SAP Store']"
382,AnyBiz.io,['Other Lead Generation']
383,AnyChart JS Charts,"['Data Visualization Libraries', 'JavaScript Web Frameworks', 'Embedded Business Intelligence', 'Data Visualization']"
384,"AnyGantt JS Gantt, Resource, PERT Charts",['JavaScript Web Frameworks']
385,AnyMP4 Blu-ray Player,['Other Video']
386,AnyMP4 DVD Converter,['Other Video']
387,AnyMP4 MP4 Converter,['Other Video']
388,AnyMP4 MP4 Converter for Mac,['Other Video']
389,AnyMP4 MTS Converter,['File Converter']
390,AnyMap JS Maps,"['JavaScript Web Frameworks', 'Embedded Business Intelligence']"
391,AnyRoad,"['Event Marketing', 'Tour Operator', 'Event Registration \\u0026 Ticketing', 'Online Appointment Scheduling', 'Event Management Platforms', 'Feedback Analytics', 'Enterprise Feedback Management']"
392,AnyStock - data visualization solution for financial data,['Other Finance \\u0026 Insurance']
393,Anzo,"['Data Fabric', 'Data Preparation', 'Machine Learning Data Catalog']"
394,Apache Ambari,['Big Data Processing and Distribution']
395,Apache Anakia,['XML Databases']
396,Apache Apex,['Big Data Processing and Distribution']
397,Apache Arrow,"['Java Integrated Development Environments (IDE)', 'C/C++ Integrated Development Environments (IDE)', 'Python Integrated Development Environments (IDE)']"
398,Apache AsterixDB,['Big Data Processing and Distribution']
399,Apache Axiom,['XML Databases']
400,Apache Beam,['Big Data Processing and Distribution']
401,Apache Calcite,['Relational Databases']
402,Apache Cassandra Node for Ubuntu 18.04 with support by Kurian,['AWS Marketplace']
403,Apache Clerezza,['Java Web Frameworks']
404,Apache Drill,"['Database Management Systems (DBMS)', 'Document Databases', 'AWS Marketplace']"
405,Apache Eagle,['IT Alerting']
406,Apache Edgent,['Runtime']
407,Apache Flink,"['Java Web Frameworks', 'Stream Analytics']"
408,Apache Geode,['Database Management Systems (DBMS)']
409,Apache Giraph,"['RDF Databases', 'Graph Databases']"
410,Apache HAWQ,['Relational Databases']
411,Apache Ignite,"['Key Value Databases', 'Relational Databases', 'Database Management Systems (DBMS)', 'Database Monitoring']"
412,Apache Lucy,['Other Non-Relational Databases']
413,Apache Marmotta,['RDF Databases']
414,Apache Mesos,"['Container Orchestration', 'Container Engine']"
415,Apache MetaModel,['Database Management Systems (DBMS)']
416,Apache NiFi,"['Big Data Integration Platforms', 'ETL Tools']"
417,Apache OODT,['Object-Oriented Databases']
418,Apache OpenOffice Calc,['Spreadsheets']
419,Apache Parquet,['Columnar Databases']
420,Apache Phoenix,"['Relational Databases', 'Other Analytics']"
421,Apache Pig,['Big Data Analytics']
422,Apache Ranger,['Data Governance']
423,Apache RocketMQ,['Message Queue (MQ)']
424,Apache Scout,['XML Databases']
425,Apache Sentry,['Risk-Based Authentication (RBA)']
426,Apache Spark for Azure HDInsight,['Big Data Processing and Distribution']
427,Apache Sqoop,['Big Data Integration Platforms']
428,Apache Subversion (SVN) Server on Ubuntu 18.04 LTS,['AWS Marketplace']
429,Apache Torque,['Object-Oriented Databases']
430,Apache Trafodion,['Database Management Systems (DBMS)']
431,Apache Unomi,['Customer Data Platform (CDP)']
432,Apache Usergrid,['Mobile Backend-as-a-Service (mBaaS)']
433,Apache Web Server for CentOS 8,['AWS Marketplace']
434,Apache Websh,"['Low-Code Development Platforms', 'Application Development Platforms']"
435,Apache Xalan,['XML Databases']
436,Apache Zeppelin,['Other Integrated Development Environments (IDE)']
437,Apeaksoft iPhone Data Recovery,['File Recovery']
438,Apeaksoft iPhone Eraser,"['Mobile Data Security', 'Data Destruction']"
439,Aperture by Palo Alto Networks  for G Suite,['Google Workspace Administration']
440,ApexSQL,"['Database Management Systems (DBMS)', 'Relational Databases']"
441,Apideck Ecosystem,"['Enterprise App Store', 'Partner Management']"
442,Apideck Unify,"['Unified APIs', 'Financial Data APIs', 'Embedded Integration Platforms']"
443,Apify,"['Proxy Network', 'Data Extraction', 'Robotic Process Automation (RPA)', 'Lead Mining']"
444,Apify Custom Web Scraping \u0026 RPA Solutions,['Data Extraction Services']
445,Apigee API Management,['API Management']
446,Apigee Open Banking APIx,['Financial Data APIs']
447,Aplynk,['On-Premise Data Integration']
448,Apollo Platform,['Construction Data Analytics']
449,Apono,['Identity and Access Management (IAM)']
450,Aporia,['MLOps Platforms']
451,AppGini - web database applications in minutes,['Other Mobile Development']
452,AppMaster.io,"['Workplace Innovation Platforms', 'Digital Process Automation (DPA)', 'API Design', 'API Management', 'WYSIWYG Editors', 'Drag and Drop App Builder', 'Application Development Platforms', 'No-Code Development Platforms']"
453,AppNexus Marketplace,['Supply Side Platform (SSP)']
454,AppOmni,"['Cloud Security Monitoring and Analytics', 'SaaS Security Posture Management (SSPM) Solutions']"
455,AppSealing,"['Application Shielding', 'Runtime Application Self-Protection (RASP)', 'Mobile Data Security', 'IoT Security Solutions']"
456,Apparity,"['IT Risk Management', 'Data Governance']"
457,Appdome,"['Application Shielding', 'Runtime Application Self-Protection (RASP)', 'No-Code Development Platforms', 'Mobile Data Security', 'Fraud Detection', 'Bot Detection and Mitigation', 'Click Fraud']"
458,Appen,"['Machine Learning Data Catalog', 'Data Labeling']"
459,Appflow.ai,"['Subscription Analytics', 'Mobile App Analytics']"
460,Appgate SDP,"['OT Secure Remote Access', 'Software-Defined Perimeter (SDP)', 'Zero Trust Networking', 'Data Center Security Solutions', 'Network Access Control (NAC)', 'IoT Security Solutions', 'Risk-Based Authentication (RBA)']"
461,Appify,"['Mobile Forms Automation', 'No-Code Development Platforms', 'Drag and Drop App Builder', 'Field Service Management', 'Workplace Innovation Platforms']"
462,Applied,"['Diversity Recruiting', 'Applicant Tracking Systems (ATS)']"
463,Apporio Infolabs,['Mobile App Development']
464,Appranix Cloud Application Resilience,"['Data Replication', 'Disaster Recovery', 'Database Backup', 'Server Backup', 'SaaS Backup', 'IT Resilience Orchestration Automation (ITRO)', 'Disaster Recovery as a Service (DRaaS)']"
465,Appriss Safety,['Public Safety']
466,Apps4Rent,['Cloud Hosting']
467,AppsFlyer,"['Mobile Attribution', 'Click Fraud', 'Mobile App Analytics', 'Mobile App Optimization', 'Mobile Marketing', 'Data Clean Room']"
468,Appsembler Tahoe LMS,"['Online Learning Platform', 'Corporate Learning Management Systems']"
469,Apptio Cloudability,"['Cloud Cost Management', 'Cloud Management Platforms']"
470,Apptopia,"['Digital Advertising Intelligence', 'Mobile App Analytics', 'Competitive Intelligence', 'App Store Optimization']"
471,Apriva Payments,['Payment Processing']
472,Aptean Industrial Manufacturing ERP Traverse Edition,"['Accounting', 'Business Process Management', 'Inventory Management', 'Warehouse Management']"
473,Apteco Orbit,"['Marketing Analytics', 'Digital Analytics']"
474,Aptitude Accounting Hub,['Accounting']
475,Apto Solutions,['Data Destruction']
476,Aptum,['Managed Services']
477,Apty,"['Digital Adoption Platform', 'Customer Self-Service']"
478,Aqua Data Studio,"['Statistical Analysis', 'Database Management Systems (DBMS)', 'SQL Integrated Development Environments (IDE)', 'Database Comparison']"
479,Aquant Service Insights,"['Contact Center Workforce', 'Predictive Analytics']"
480,ArangoDB,"['Database as a Service (DBaaS)', 'Key Value Databases', 'Document Databases', 'Graph Databases', 'Enterprise Search Software']"
481,Araqich,['Order Management']
482,Aras Innovator,"['Product Data Management (PDM)', 'PLM', 'Engineering Document Management']"
483,ArcGIS API for JavaScript,['Other Development']
484,ArcGIS API for Python,['Python Web Frameworks']
485,ArcGIS Business Analyst,['Location Intelligence']
486,ArcGIS Data Interoperability,['Data Management Suites']
487,ArcGIS Data Reviewer,"['Data Quality', 'Product Data Management (PDM)']"
488,ArcGIS Desktop,['GIS']
489,ArcGIS Experience Builder,"['No-Code Development Platforms', 'Drag and Drop App Builder', 'GIS', 'Application Development Platforms']"
490,ArcGIS Full Motion Video,['Other Video']
491,ArcGIS Hub,['Citizen Engagement']
492,ArcGIS Image Server,['Other Analytics']
493,ArcGIS Insights,['Location Intelligence']
494,ArcGIS Pipeline Referencing,"['Oil and Gas Asset Management', 'Location Intelligence']"
495,ArcGIS Pro,"['Location Intelligence', 'GIS']"
496,ArcGIS Roads and Highways,['GIS']
497,ArcGIS Runtime SDK for .NET,"['Mobile Development Platforms', 'Application Development Platforms']"
498,ArcGIS Runtime SDK for Java,"['Mobile Development Platforms', 'Application Development Platforms']"
499,ArcGIS Runtime SDK for iOS,"['Mobile Development Platforms', 'Application Development Platforms']"
500,ArcGIS Survey123,"['Survey', 'Mobile Forms Automation']"
501,ArcGIS for Office,"['Digital Wayfinding', 'GIS', 'Location Intelligence']"
502,ArcSurvey,['Survey']
503,Arcade Analytics,['Data Visualization']
504,Arcadia Enterprise,['Big Data Analytics']
505,ArchiGraph platform,['Graph Databases']
506,Archie.AI,['Chatbots']
507,Archiware P5 Archive,['Enterprise Information Archiving']
508,Archlet,"['SAP Store', 'Strategic Sourcing']"
509,Arcserve UDP,"['Disaster Recovery', 'Database Backup', 'Online Backup', 'Server Backup', 'File Recovery', 'SaaS Backup']"
510,Arcserve UDP Cloud Direct,['Disaster Recovery as a Service (DRaaS)']
511,Ardoq,"['Enterprise Architecture Tools', 'Application Portfolio Management', 'Strategy and Innovation Roadmapping Tools', 'Data Visualization']"
512,Arena Calibrate,"['Marketing Analytics', 'Data Management Platform (DMP)', 'Content Analytics', 'Social Media Analytics', 'Digital Advertising Intelligence', 'Analytics Platforms', 'Predictive Analytics', 'E-Commerce Analytics']"
513,Arena.im,"['Live Blog', 'Live Stream', 'Content Distribution', 'Customer Data Platform (CDP)', 'Live Chat', 'Communication Platform as a Service']"
514,Argos™ Threat Intelligence Platform,"['Dark Web Monitoring', 'Risk-Based Vulnerability Management', 'Brand Protection', 'Threat Intelligence', 'Attack Surface Management']"
515,Aricent Agile Datacenter Network,['Data Center Networking']
516,Arimo Dashboards,['Data Visualization']
517,Arista EOS,['Operating System']
518,Arista Networks,['Data Center Networking']
519,AristotleInsight,['Data-Centric Security']
520,Aritic Mail,['Transactional Email']
521,Aritic Swarm,['Business Instant Messaging']
522,AroundDeal,"['Marketing Account Intelligence', 'Market Intelligence', 'Lead Mining', 'Lead Capture', 'Sales Intelligence', 'Lead Intelligence']"
523,Arrcus Hybrid Cloud,['Data Center Networking']
524,Arria,['Natural Language Generation (NLG)']
525,Arrow Electronics,"['Oracle Cloud Application Resellers', 'Oracle Database Resellers', 'Oracle Primavera Resellers']"
526,Artemis,['Healthcare Analytics']
527,Article Galaxy Enterprise,['Reference Management']
528,Artlogic,"['Gallery Management', 'Collections Management']"
529,ArtworkFlow,"['Display Ad Design', 'Online Proofing', 'Digital Asset Management', 'Creative Portfolio Management', 'Design Systems']"
530,Aruba AirWave,"['Network Monitoring', 'Network Management Tools']"
531,Aruba Analytics and Location Engine,['Visitor Behavior Intelligence']
532,Arvia,"['Business Instant Messaging', 'Screen Sharing', 'Video Conferencing', 'Social Commerce Platforms', 'Live Commerce']"
533,Arxspan,"['Electronic Lab Notebook (ELN)', 'LIMS', 'Scientific Data Management System (SDMS)']"
534,Aryson Hotmail Backup Tool,['Email Backup']
535,Aryson Yahoo Backup Tool,['File Migration']
536,Ascend Lead Sites,"['Real Estate Marketing', 'Real Estate CRM']"
537,Ascend Technologies,"['Managed Services', 'Data Governance Services', 'Managed Security Services (MSSP)', 'Endpoint Security Services', 'Vulnerability Assessment Services', 'Network Security Services', 'Incident Response Services', 'Contact Center Consulting', 'Contact Center Outsourcing Services', 'Salesforce Channel Partners', 'Microsoft Channel Partners', 'Amazon Web Services Channel Partners', 'Cloud Migration Services', 'Cloud Consulting', 'IT Infrastructure Consulting', 'Salesforce Consulting Services', 'Microsoft Consulting Services']"
538,Ascendance,"['Education ERP Suites', 'K-12 Student Information Systems', 'Education Finance Software', 'Admissions and Enrollment Management']"
539,Ashampoo WinOptimizer,['Data Destruction']
540,Asigra Tigris Backup,"['Online Backup', 'File Recovery', 'SaaS Backup', 'Server Backup', 'Disaster Recovery', 'Backup Solution Suites']"
541,Askdata for SAP HANA,"['Enterprise Search Software', 'SAP Store']"
542,Askuity,['Other Construction']
543,Aspect,['Talent Intelligence']
544,Aspectum,['Location Intelligence']
545,Aspen InfoPlus.21,['Oil Production']
546,Aspen SIS,['K-12 Student Information Systems']
547,Assemble,"['Autodesk Construction Cloud Integration Partners', 'Construction Estimating', 'Construction Drawing Management', 'Construction Data Analytics']"
548,Assembly,['Financial Data APIs']
549,Assembly Trialworks,['Legal Case Management']
550,Asset Data Manager,['CRM']
551,AssetFuture,['Asset Performance Management']
552,Assure QuickEDD,"['Disaster Recovery', 'Data De-Identification']"
553,Assure Security,"['Data-Centric Security', 'Data Masking', 'Database Security', 'Multi-Factor Authentication (MFA)', 'Data De-Identification']"
554,Astera Centerprise,"['On-Premise Data Integration', 'Data Mapping', 'ETL Tools']"
555,Astra Pentest,"['Dynamic Application Security Testing (DAST)', 'Penetration Testing', 'Vulnerability Scanner', 'Vulnerability Management']"
556,AstraChat - Direct XMPP Client,['Business Instant Messaging']
557,Astrea IT Services,"['IT Outsourcing', 'Salesforce Consulting Services']"
558,Astrella,"['Equity Management', 'Venture Capital Management']"
559,Astro by Astronomer,"['DataOps Platforms', 'Data Fabric', 'Big Data Integration Platforms', 'Workload Automation']"
560,Asurint Background Screening Solutions,"['Background Check', 'Drug Testing']"
561,AtData,"['Email Verification', 'E-commerce Fraud Protection', 'Identity Resolution']"
562,Ataccama One,"['Data Governance', 'Machine Learning Data Catalog', 'Big Data Integration Platforms', 'Master Data Management (MDM)', 'Data Quality', 'Active Metadata Management']"
563,Athenian,['Software Development Analytics Tools']
564,Athenic AI,['Other Analytics']
565,Athennian,['Entity Management']
566,Athenta DCEYE,['Data Center Infrastructure Management (DCIM)']
567,Atlan,"['Active Metadata Management', 'DataOps Platforms', 'Data Fabric', 'Data Governance', 'Machine Learning Data Catalog', 'Data Quality']"
568,Atlas,"['On-Premise Data Integration', 'Multi-Country Payroll', 'Global Employment Platforms (GEP)', 'Employer of Record (EOR)']"
569,Atlas Solutions,"['Cross-Channel Advertising', 'Social Media Advertising', 'Display Advertising', 'Mobile Advertising']"
